fecha_trimestre,salario_medio_registrados,salario_medio_no_registrados,salario_medio_publico,salario_medio_total
2016-01-01,2496399.783490566,843582.3983000551,2764825.828679185,2072456.30538324
2016-04-01,2686225.3784043523,287147.83090169966,2731824.174805108,1967234.173560418
2016-07-01,2364212.372576455,770732.837242477,2748309.929365208,1954112.1571126143
2016-10-01,2796544.7960353494,273981.6727815513,2967934.424285132,2056374.6858410763
2017-01-01,2538213.232442681,812707.66535545,2723729.686976008,2078750.4440428943
2017-04-01,2790609.4612698313,309536.21768113045,2785086.1530068354,2038797.1719680896
2017-07-01,2480095.8519398044,784733.2164892615,2734208.653438663,2012162.107190104
2017-10-01,2844436.172716237,270095.98169172154,3006811.4661527495,2070041.1162628718
2018-01-01,2521395.860735329,784467.8592832889,2635523.649159882,2023485.6731581443
2018-04-01,2756100.495370203,263848.1191543676,2730450.2529491144,1992153.2774243082
2018-07-01,2295820.0749561493,706644.4108607139,2469178.640689822,1845136.5742420694
2018-10-01,2571236.140129928,204917.5433591735,2705040.9755483996,1850283.1411925117
2019-01-01,2309404.8490017983,623578.684338858,2372183.8547617565,1801251.792785772
2019-04-01,2525880.0910789776,166398.34961687616,2484017.3453018786,1779117.7841272615
2019-07-01,2197614.9284053254,608342.1014688247,2367964.876199798,1742259.3676790185
2019-10-01,2498553.6064410317,156463.9675035003,2470356.3373883776,1730353.190606503
2020-01-01,2326861.730002622,558800.8005878566,2187337.8736054837,1738889.8864878295
2020-04-01,2429663.7443861123,-101822.84228425229,2299057.819403942,1801477.006236586
2020-07-01,2120446.042226055,550924.0440336654,2159066.8386777183,1698178.6158505415
2020-10-01,2474211.4417336914,104266.10413149996,2349330.7200252935,1728860.7990471201
2021-01-01,2236633.2361020055,582560.9063305574,2111981.1928062877,1709303.886291921
2021-04-01,2448119.7513436046,134553.45733377527,2231030.013109125,1701287.24123021
2021-07-01,2172377.5921422797,558087.9457316479,2172346.465151193,1676467.720883665
2021-10-01,2536693.38472551,82607.06389494757,2492627.1823343732,1744057.5239965122
2022-01-01,2296855.7724232175,625997.9015571153,2264493.692063942,1755723.1148067878
2022-04-01,2509383.4850687888,212062.8548251311,2315385.9268481187,1700286.707707886
2022-07-01,2119598.9368289197,569735.8347813493,2156760.191065696,1622967.9221633943
2022-10-01,2514862.5085740243,114616.64353784088,2468019.532575456,1716992.9685017867
2023-01-01,2281762.6631370983,592582.7546481421,2345284.3639166495,1743740.057044965
2023-04-01,2502034.8533149315,232344.27373033276,2464743.1029863027,1755243.7889997417
2023-07-01,2185717.6535242847,601273.0059560348,2387291.988153926,1716156.1849126816
2023-10-01,2386113.265389048,132175.93370894433,2336567.478650004,1616988.2802103718
2024-01-01,2040715.0660806133,483275.4567230668,1798207.752310437,1479498.442300785
2024-04-01,2368893.255186419,188092.02501033517,1956803.2492776935,1545783.9634118956
2024-07-01,2110809.0525398958,558708.374259204,1903652.7312501117,1547260.6620735005
2024-10-01,2511347.7539918283,191547.2963705157,2095902.0094711652,1623949.9914767214
2025-01-01,2306170.294493327,712450.2968259825,1928682.5357972735,1697509.0333740406
2025-04-01,2525208.2216324536,391204.1677832873,2107031.743208625,1719440.1385845009
