fecha_trimestre,salario_mensual,monto_auh,ganancias,jubilacion_minima
2016-01-01,2072456.30538324,102932.9483057909,242781743.06176487,528584.083402124
2016-04-01,1967234.173560418,100037.98697718947,326897497.675221,513549.0449481186
2016-07-01,1954112.1571126143,98987.15231748366,295813965.39747286,508112.3050919532
2016-10-01,2056374.6858410763,102718.90242256617,271797593.2978523,558233.309841344
2017-01-01,2078750.4440428943,101798.12218801238,246631565.11755878,522467.3611833764
2017-04-01,2038797.1719680896,103603.4396767528,309557372.6953987,531736.7550022745
2017-07-01,2012162.107190104,103373.80506365838,298893584.5948854,530694.5764951379
2017-10-01,2070041.1162628718,106463.47711456107,282490830.3250197,546804.2655203573
2018-01-01,2023485.6731581443,101544.85907906474,273417265.3398289,539124.583297844
2018-04-01,1992153.2774243082,99458.57711680797,358117325.9788099,510616.54061985866
2018-07-01,1845136.5742420694,94570.67663134095,336346922.039479,485544.94004953775
2018-10-01,1850283.1411925117,88340.88075999904,299998363.34057814,453615.1503270338
2019-01-01,1801251.792785772,97256.25853670327,257535948.6373057,449690.1358399845
2019-04-01,1779117.7841272615,110920.33129650429,341855606.74905074,450986.7869255053
2019-07-01,1742259.3676790185,100820.53864957987,306937611.51503414,456112.8264975274
2019-10-01,1730353.190606503,90145.7030802971,293915588.1442763,503270.58233971574
2020-01-01,1738889.8864878295,88428.7904345153,230641336.02946663,504419.63204460917
2020-04-01,1801477.006236586,92020.26844253909,278901731.853329,500332.96394570573
2020-07-01,1698178.6158505415,91885.0260249968,289242085.7506893,470559.13436482905
2020-10-01,1728860.7990471201,88753.88956710165,290066488.3928165,454521.5167022091
2021-01-01,1709303.886291921,83885.5272503892,272085574.87696755,429580.92773470207
2021-04-01,1701287.24123021,81858.87232542511,392978481.98244196,438785.2314862694
2021-07-01,1676467.720883665,84016.66529487209,344173384.4853124,460103.2049964807
2021-10-01,1744057.5239965122,85845.75057154823,339081738.6956337,483014.77467017877
2022-01-01,1755723.1148067878,85062.01276015921,296192165.0367846,435421.1634505653
2022-04-01,1700286.707707886,81523.68524165958,407991778.7542085,490383.48007543007
2022-07-01,1622967.9221633943,77810.97223687498,359801266.67975897,427578.2725880719
2022-10-01,1716992.9685017867,75754.76401266457,324200291.7759565,455639.2497263208
2023-01-01,1743740.057044965,73825.25550899243,282419016.70077914,460978.1604094429
2023-04-01,1755243.7889997417,70138.68435158486,356436980.33917505,444753.1070423442
2023-07-01,1716156.1849126816,66812.28492228019,351644336.1374319,452343.36212310253
2023-10-01,1616988.2802103718,57023.63463952194,325452931.7646105,425951.90158750094
2024-01-01,1479498.442300785,86101.05664795391,271529847.3076079,334904.8785222514
2024-04-01,1545783.9634118956,90449.98892307284,324304384.77396476,392301.5353030635
2024-07-01,1547260.6620735005,108331.3850239634,328587912.75955147,395196.0171660232
2024-10-01,1623949.9914767214,111154.55874658494,302580330.9461377,395182.7644736813
2025-01-01,1697509.0333740406,111441.74718498909,241483361.67892796,389742.4349359647
2025-04-01,1719440.1385845009,112129.50091510444,308287973.56038916,385890.6307047935
